Category,City,Country,Customer Name,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,New York City,United States,Henia Zydlo,9/14/2017,CA-2017-108931,10024,Xerox 1980,East,Consumer,9/19/2017,Standard Class,New York,Paper,0,3.852,2,8.56
Office Supplies,New York City,United States,Henia Zydlo,9/14/2017,CA-2017-108931,10024,Xerox 1987,East,Consumer,9/19/2017,Standard Class,New York,Paper,0,5.6644,2,11.56
Office Supplies,New York City,United States,Barry Weirich,5/25/2014,CA-2014-100391,10035,Strathmore Photo Frame Cards,East,Consumer,5/29/2014,Standard Class,New York,Paper,0,6.7252,2,14.62
Office Supplies,New York City,United States,Kelly Andreada,11/24/2017,CA-2017-168641,10035,Xerox 214,East,Consumer,12/1/2017,Standard Class,New York,Paper,0,6.2208,2,12.96
Office Supplies,New York City,United States,Luke Foster,2/16/2017,CA-2017-118521,10035,Xerox 1912,East,Consumer,2/20/2017,Standard Class,New York,Paper,0,18.2112,2,37.94
Office Supplies,New York City,United States,Mike Vittorini,11/21/2016,CA-2016-114895,10035,Xerox 1975,East,Consumer,11/28/2016,Standard Class,New York,Paper,0,6.3504,2,12.96
Office Supplies,New York City,United States,Peter Fuller,9/17/2015,US-2015-126977,10035,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",East,Consumer,9/23/2015,Standard Class,New York,Paper,0,53.2608,2,110.96
Office Supplies,New York City,United States,Seth Vernon,9/20/2017,CA-2017-100111,10035,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",East,Consumer,9/26/2017,Standard Class,New York,Paper,0,6.3296,2,13.76
Office Supplies,Watertown,United States,Chris McAfee,12/10/2016,CA-2016-144309,13601,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",East,Consumer,12/16/2016,Standard Class,New York,Paper,0,8.7138,2,18.54
Office Supplies,Newark,United States,Janet Lee,6/5/2016,CA-2016-165169,19711,Standard Rollaway File with Lock,East,Consumer,6/11/2016,Standard Class,Delaware,Storage,0,93.6988,2,360.38
Office Supplies,Auburn,United States,Tamara Manning,9/12/2015,CA-2015-102015,13021,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",East,Consumer,9/18/2015,Standard Class,New York,Storage,0,4.2392,2,105.98
Office Supplies,New York City,United States,Annie Thurman,12/17/2017,CA-2017-103443,10009,Safco Steel Mobile File Cart,East,Consumer,12/23/2017,Standard Class,New York,Storage,0,41.68,2,166.72
Office Supplies,New York City,United States,Adrian Barton,2/2/2016,CA-2016-147431,10011,"Belkin 19"" Center-Weighted Shelf, Gray",East,Consumer,2/7/2016,Standard Class,New York,Storage,0,5.898,2,117.96
Office Supplies,New York City,United States,Ben Wallace,10/27/2016,CA-2016-116596,10011,Rogers Profile Extra Capacity Storage Tub,East,Consumer,10/31/2016,Standard Class,New York,Storage,0,1.3392,2,33.48
Office Supplies,New York City,United States,Amy Hunt,5/14/2017,CA-2017-115546,10035,X-Rack File for Hanging Folders,East,Consumer,5/18/2017,Standard Class,New York,Storage,0,5.8708,2,22.58
Office Supplies,Yonkers,United States,Karen Daniels,3/1/2016,US-2016-143819,10701,Adjustable Depth Letter/Legal Cart,East,Consumer,3/5/2016,Standard Class,New York,Storage,0,105.2468,2,362.92
Office Supplies,New York City,United States,Greg Tran,5/23/2014,US-2014-135881,10035,Letter Slitter,East,Consumer,5/27/2014,Standard Class,New York,Supplies,0,0.1512,2,5.04
Office Supplies,New York City,United States,Kunst Miller,4/19/2016,CA-2016-109666,10035,Acme Kleen Earth Office Shears,East,Consumer,4/26/2016,Standard Class,New York,Supplies,0,2.2504,2,7.76
Office Supplies,New York City,United States,Roy Französisch,12/29/2015,CA-2015-130855,10035,Acme Serrated Blade Letter Opener,East,Consumer,1/5/2016,Standard Class,New York,Supplies,0,0.063600000,2,6.36
Office Supplies,Norwich,United States,Ivan Gibson,4/9/2015,CA-2015-101000,06360,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,East,Consumer,4/14/2015,Standard Class,Connecticut,Appliances,0,144.3546,3,370.14
Office Supplies,Long Beach,United States,Christy Brittain,6/12/2016,CA-2016-139941,11561,Bionaire 99.97% HEPA Air Cleaner,East,Consumer,6/17/2016,Standard Class,New York,Appliances,0,18.396,3,52.56
Office Supplies,Long Beach,United States,Daniel Lacy,11/1/2014,US-2014-137155,11561,Kensington 7 Outlet MasterPiece Power Center,East,Consumer,11/5/2014,Standard Class,New York,Appliances,0,154.8426,3,533.94
Office Supplies,New York City,United States,Astrea Jones,12/30/2014,CA-2014-131800,10035,Kensington 6 Outlet SmartSocket Surge Protector,East,Consumer,1/4/2015,Standard Class,New York,Appliances,0,30.735,3,122.94
Office Supplies,Rochester,United States,Jay Fein,2/4/2017,CA-2017-169474,14609,Belkin 6 Outlet Metallic Surge Strip,East,Consumer,2/9/2017,Standard Class,New York,Appliances,0,8.4942,3,32.67
Office Supplies,Burlington,United States,Raymond Messe,1/19/2017,US-2017-127292,05408,Avanti 4.4 Cu. Ft. Refrigerator,East,Consumer,1/23/2017,Standard Class,Vermont,Appliances,0,152.0232,3,542.94
Office Supplies,Washington,United States,Greg Tran,4/27/2015,CA-2015-124450,20016,Staples in misc. colors,East,Consumer,5/3/2015,Standard Class,District of Columbia,Art,0,8.8686,3,22.74
Office Supplies,Baltimore,United States,Eric Murdock,12/12/2015,CA-2015-129042,21215,Rogers Handheld Barrel Pencil Sharpener,East,Consumer,12/17/2015,Standard Class,Maryland,Art,0,2.2194,3,8.22
Office Supplies,Baltimore,United States,Stewart Visinsky,2/13/2017,CA-2017-151176,21215,Barrel Sharpener,East,Consumer,2/20/2017,Standard Class,Maryland,Art,0,2.7846,3,10.71
Office Supplies,Lawrence,United States,Carol Triggs,5/7/2014,CA-2014-166086,01841,Newell 335,East,Consumer,5/12/2014,Standard Class,Massachusetts,Art,0,2.5056,3,8.64
Office Supplies,Freeport,United States,Karl Braun,5/28/2015,CA-2015-131758,11520,Boston 16701 Slimline Battery Pencil Sharpener,East,Consumer,6/1/2015,Standard Class,New York,Art,0,14.346,3,47.82
Office Supplies,New York City,United States,Cari Schnelling,6/30/2014,US-2014-121566,10011,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",East,Consumer,7/6/2014,Standard Class,New York,Art,0,2.904,3,6.6
Office Supplies,New York City,United States,Dan Campbell,9/13/2014,CA-2014-145212,10011,Newell 322,East,Consumer,9/19/2014,Standard Class,New York,Art,0,1.4742,3,5.46
Office Supplies,New York City,United States,Jeremy Ellison,11/27/2015,CA-2015-163762,10024,Peel-Off China Markers,East,Consumer,12/1/2015,Standard Class,New York,Art,0,12.5118,3,29.79
Office Supplies,New York City,United States,Jessica Myrick,4/17/2015,CA-2015-148712,10035,Barrel Sharpener,East,Consumer,4/23/2015,Standard Class,New York,Art,0,2.7846,3,10.71
Office Supplies,New York City,United States,Sarah Bern,6/12/2017,CA-2017-108441,10035,Boston 1730 StandUp Electric Pencil Sharpener,East,Consumer,6/18/2017,Standard Class,New York,Art,0,16.6764,3,64.14
Office Supplies,Newark,United States,Shirley Jackson,11/20/2016,CA-2016-121356,19711,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",East,Consumer,11/24/2016,Standard Class,Delaware,Binders,0,62.916,3,128.4
Office Supplies,Wilmington,United States,Magdelene Morse,7/15/2017,CA-2017-166142,19805,GBC Standard Plastic Binding Systems Combs,East,Consumer,7/19/2017,Standard Class,Delaware,Binders,0,13.0095,3,26.55
Office Supplies,Clinton,United States,Brian Thompson,7/9/2015,CA-2015-132626,20735,"Performers Binder/Pad Holder, Black",East,Consumer,7/14/2015,Standard Class,Maryland,Binders,0,42.045,3,84.09
Office Supplies,Columbia,United States,Joy Bell-,3/13/2017,CA-2017-107713,21044,Avery Arch Ring Binders,East,Consumer,3/17/2017,Standard Class,Maryland,Binders,0,81.921,3,174.3
Office Supplies,Lawrence,United States,Carol Triggs,5/7/2014,CA-2014-166086,01841,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",East,Consumer,5/12/2014,Standard Class,Massachusetts,Binders,0,7.9086,3,16.14
Office Supplies,Dover,United States,Emily Phan,3/14/2015,CA-2015-163587,03820,GBC DocuBind TL200 Manual Binding Machine,East,Consumer,3/18/2015,Standard Class,New Hampshire,Binders,0,315.8118,3,671.94
Office Supplies,Cranston,United States,Sonia Cooley,6/24/2017,CA-2017-132955,02920,GBC Prestige Therm-A-Bind Covers,East,Consumer,6/28/2017,Standard Class,Rhode Island,Binders,0,48.3771,3,102.93
Office Supplies,Mount Vernon,United States,Joseph Airdo,9/29/2017,CA-2017-128335,10550,Staple envelope,East,Consumer,10/5/2017,Standard Class,New York,Envelopes,0,10.9698,3,23.34
Office Supplies,Oceanside,United States,Gene McClure,9/26/2015,CA-2015-127173,11572,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",East,Consumer,10/3/2015,Standard Class,New York,Fasteners,0,16.1868,3,34.44
Office Supplies,Newark,United States,Jennifer Jackson,6/16/2016,CA-2016-137127,19711,Avery 518,East,Consumer,6/22/2016,Standard Class,Delaware,Labels,0,4.536,3,9.45
Office Supplies,Newark,United States,Janet Lee,6/5/2016,CA-2016-165169,19711,Avery White Multi-Purpose Labels,East,Consumer,6/11/2016,Standard Class,Delaware,Labels,0,6.8724,3,14.94
Office Supplies,Clinton,United States,Brian Thompson,7/9/2015,CA-2015-132626,20735,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",East,Consumer,7/14/2015,Standard Class,Maryland,Labels,0,5.6994,3,12.39
Office Supplies,Everett,United States,Sue Ann Reed,10/28/2017,CA-2017-160661,02149,Avery 519,East,Consumer,11/1/2017,Standard Class,Massachusetts,Labels,0,10.3071,3,21.93
Office Supplies,New York City,United States,Caroline Jumper,5/7/2016,CA-2016-128818,10009,Alphabetical Labels for Top Tab Filing,East,Consumer,5/11/2016,Standard Class,New York,Labels,0,22.2,3,44.4
Office Supplies,New York City,United States,Shahid Hopkins,3/7/2017,CA-2017-110884,10035,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",East,Consumer,3/12/2017,Standard Class,New York,Labels,0,42.1314,3,91.59
Office Supplies,Newark,United States,Brosina Hoffman,3/3/2016,CA-2016-112123,19711,Xerox 194,East,Consumer,3/8/2016,Standard Class,Delaware,Paper,0,79.8912,3,166.44
Office Supplies,Newark,United States,Karl Braun,8/26/2014,CA-2014-103331,19711,Xerox 1978,East,Consumer,9/1/2014,Standard Class,Delaware,Paper,0,8.4966,3,17.34
Office Supplies,Washington,United States,Toby Braunhardt,5/26/2016,CA-2016-157266,20016,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),East,Consumer,6/1/2016,Standard Class,District of Columbia,Paper,0,9.3312,3,19.44
Office Supplies,Baltimore,United States,Resi Pölking,5/24/2014,CA-2014-143413,21215,Xerox 1944,East,Consumer,5/30/2014,Standard Class,Maryland,Paper,0,56.9772,3,116.28
Office Supplies,Lawrence,United States,Doug O'Connell,8/19/2017,CA-2017-115777,01841,Xerox 200,East,Consumer,8/24/2017,Standard Class,Massachusetts,Paper,0,9.3312,3,19.44
Office Supplies,Quincy,United States,Andy Reiter,11/22/2015,CA-2015-123505,02169,Xerox 1970,East,Consumer,11/26/2015,Standard Class,Massachusetts,Paper,0,7.0218,3,14.94
Office Supplies,Belleville,United States,Xylona Preis,10/6/2017,CA-2017-118577,07109,Xerox 1886,East,Consumer,10/11/2017,Standard Class,New Jersey,Paper,0,68.976,3,143.7
Office Supplies,Paterson,United States,Dean Braden,12/21/2017,CA-2017-165841,07501,Xerox 1913,East,Consumer,12/28/2017,Standard Class,New Jersey,Paper,0,79.8912,3,166.44
Office Supplies,Long Beach,United States,Christy Brittain,6/12/2016,CA-2016-139941,11561,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",East,Consumer,6/17/2016,Standard Class,New York,Paper,0,41.823,3,92.94
Office Supplies,Long Beach,United States,Daniel Lacy,11/1/2014,US-2014-137155,11561,Xerox 1934,East,Consumer,11/5/2014,Standard Class,New York,Paper,0,82.2906,3,167.94
Office Supplies,New York City,United States,Irene Maddox,6/23/2016,CA-2016-140501,10009,Tops White Computer Printout Paper,East,Consumer,6/28/2016,Standard Class,New York,Paper,0,68.9631,3,146.73
Office Supplies,New York City,United States,Alex Avila,9/15/2014,CA-2014-138100,10011,Easy-staple paper,East,Consumer,9/20/2014,Standard Class,New York,Paper,0,7.0218,3,14.94
Office Supplies,New York City,United States,Amy Cox,11/8/2015,CA-2015-164441,10011,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),East,Consumer,11/13/2015,Standard Class,New York,Paper,0,8.073,3,17.94
Office Supplies,New York City,United States,Dan Lawera,11/20/2015,CA-2015-156524,10011,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",East,Consumer,11/26/2015,Standard Class,New York,Paper,0,9.039,3,19.65
Office Supplies,New York City,United States,Natalie Webber,5/8/2015,US-2015-160857,10024,Xerox 204,East,Consumer,5/15/2015,Standard Class,New York,Paper,0,9.3312,3,19.44
Office Supplies,New York City,United States,Allen Armold,12/11/2017,CA-2017-100230,10035,Xerox 1895,East,Consumer,12/15/2017,Standard Class,New York,Paper,0,8.073,3,17.94
Office Supplies,Bristol,United States,Annie Thurman,8/30/2014,CA-2014-146500,06010,Fellowes Bankers Box Stor/Drawer Steel Plus,East,Consumer,9/4/2014,Standard Class,Connecticut,Storage,0,9.594,3,95.94
Office Supplies,Morristown,United States,Gary Zandusky,9/17/2017,CA-2017-126928,07960,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",East,Consumer,9/23/2017,Standard Class,New Jersey,Storage,0,9.534,3,34.05
Office Supplies,New York City,United States,Mick Crebagga,4/9/2015,CA-2015-116512,10024,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",East,Consumer,4/14/2015,Standard Class,New York,Storage,0,3.0498,3,17.94
Office Supplies,New York City,United States,Denny Ordway,6/26/2017,CA-2017-100636,10035,Safco Industrial Wire Shelving System,East,Consumer,6/30/2017,Standard Class,New York,Storage,0,0,3,272.94
Office Supplies,Rochester,United States,Maxwell Schwartz,5/28/2015,CA-2015-135020,14609,"Hot File 7-Pocket, Floor Stand",East,Consumer,6/2/2015,Standard Class,New York,Storage,0,160.623,3,535.41
Office Supplies,Fairfield,United States,Resi Pölking,11/3/2014,CA-2014-155593,06824,Acme Kleen Earth Office Shears,East,Consumer,11/8/2014,Standard Class,Connecticut,Supplies,0,3.3756,3,11.64
Office Supplies,Baltimore,United States,Stewart Visinsky,2/13/2017,CA-2017-151176,21215,Acme Elite Stainless Steel Scissors,East,Consumer,2/20/2017,Standard Class,Maryland,Supplies,0,6.5052,3,25.02
Office Supplies,New York City,United States,Patrick Gardner,9/1/2016,CA-2016-151561,10011,Acme Value Line Scissors,East,Consumer,9/7/2016,Standard Class,New York,Supplies,0,3.285,3,10.95
Office Supplies,New York City,United States,Natalie Webber,5/8/2015,US-2015-160857,10024,Compact Automatic Electric Letter Opener,East,Consumer,5/15/2015,Standard Class,New York,Supplies,0,7.158600000,3,357.93
Office Supplies,Passaic,United States,Art Ferguson,5/22/2016,CA-2016-146934,07055,Eureka Sanitaire  Commercial Upright,East,Consumer,5/27/2016,Standard Class,New Jersey,Appliances,0,172.3384,4,662.84
Office Supplies,New York City,United States,Cari Schnelling,7/21/2017,US-2017-123204,10024,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",East,Consumer,7/27/2017,Standard Class,New York,Appliances,0,4.5448,4,17.48
Office Supplies,New York City,United States,Bobby Trafton,6/4/2014,CA-2014-151946,10035,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",East,Consumer,6/9/2014,Standard Class,New York,Appliances,0,4.0456,4,15.56
Office Supplies,Clinton,United States,Brian Thompson,7/9/2015,CA-2015-132626,20735,Prismacolor Color Pencil Set,East,Consumer,7/14/2015,Standard Class,Maryland,Art,0,32.5376,4,79.36
Office Supplies,Hempstead,United States,Chloris Kastensmidt,6/16/2014,CA-2014-113929,11550,Boston 16750 Black Compact Battery Pencil Sharpener,East,Consumer,6/21/2014,Standard Class,New York,Art,0,10.5,4,35
Office Supplies,New York City,United States,Don Weiss,4/1/2016,CA-2016-149902,10024,Boston 16801 Nautilus Battery Pencil Sharpener,East,Consumer,4/6/2016,Standard Class,New York,Art,0,22.8904,4,88.04
Office Supplies,New York City,United States,Adam Shillingsburg,9/22/2014,CA-2014-156160,10035,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",East,Consumer,9/29/2014,Standard Class,New York,Art,0,5.7376,4,13.04
Office Supplies,Mount Vernon,United States,Jeremy Lonsdale,11/30/2014,CA-2014-103590,10550,Park Ridge Embossed Executive Business Envelopes,East,Consumer,12/4/2014,Standard Class,New York,Envelopes,0,29.2716,4,62.28
Office Supplies,New York City,United States,William Brown,1/15/2016,CA-2016-137848,10011,"#10 Gummed Flap White Envelopes, 100/Box",East,Consumer,1/21/2016,Standard Class,New York,Envelopes,0,7.5992,4,16.52
Office Supplies,Clinton,United States,Brian Thompson,7/9/2015,CA-2015-132626,20735,Advantus Map Pennant Flags and Round Head Tacks,East,Consumer,7/14/2015,Standard Class,Maryland,Fasteners,0,5.056,4,15.8
Office Supplies,New York City,United States,Patrick Gardner,2/15/2016,US-2016-162859,10009,Advantus Push Pins,East,Consumer,2/22/2016,Standard Class,New York,Fasteners,0,3.5752,4,8.72
Office Supplies,Lawrence,United States,Fred McMath,12/9/2016,CA-2016-141082,01841,Avery 477,East,Consumer,12/13/2016,Standard Class,Massachusetts,Labels,0,56.1752,4,122.12
Office Supplies,Dover,United States,Emily Phan,3/14/2015,CA-2015-163587,03820,Avery 476,East,Consumer,3/18/2015,Standard Class,New Hampshire,Labels,0,7.5992,4,16.52
Office Supplies,New York City,United States,Irene Maddox,6/23/2016,CA-2016-140501,10009,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",East,Consumer,6/28/2016,Standard Class,New York,Labels,0,56.1752,4,122.12
Office Supplies,New York City,United States,Paul Gonzalez,9/12/2015,CA-2015-166464,10035,Avery 520,East,Consumer,9/17/2015,Standard Class,New York,Labels,0,6.048,4,12.6
Office Supplies,Leominster,United States,Sung Shariari,2/25/2015,CA-2015-154900,01453,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",East,Consumer,3/1/2015,Standard Class,Massachusetts,Paper,0,10.224,4,22.72
Office Supplies,New York City,United States,Becky Pak,10/2/2017,CA-2017-147564,10011,Xerox 1907,East,Consumer,10/6/2017,Standard Class,New York,Paper,0,23.0864,4,49.12
Office Supplies,New York City,United States,Mark Hamilton,7/11/2014,CA-2014-133305,10011,Xerox 1881,East,Consumer,7/15/2014,Standard Class,New York,Paper,0,23.0864,4,49.12
Office Supplies,New York City,United States,Michelle Moray,6/29/2015,US-2015-141684,10011,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",East,Consumer,7/4/2015,Standard Class,New York,Paper,0,11.232,4,24.96
Office Supplies,New York City,United States,Mark Van Huff,9/5/2016,CA-2016-133319,10011,Xerox 1885,East,Consumer,9/11/2016,Standard Class,New York,Paper,0,92.2368,4,192.16
Office Supplies,New York City,United States,Valerie Dominguez,11/1/2015,CA-2015-113145,10011,Avoid Verbal Orders Carbonless Minifold Book,East,Consumer,11/5/2015,Standard Class,New York,Paper,0,6.2192,4,13.52
Office Supplies,New York City,United States,Chad McGuire,3/29/2015,CA-2015-105361,10024,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",East,Consumer,4/4/2015,Standard Class,New York,Paper,0,8.1144,4,17.64
Office Supplies,New York City,United States,Sarah Bern,6/12/2017,CA-2017-108441,10035,"TOPS Voice Message Log Book, Flash Format",East,Consumer,6/18/2017,Standard Class,New York,Paper,0,9.3296,4,19.04
Office Supplies,Burlington,United States,Raymond Messe,1/19/2017,US-2017-127292,05408,Xerox 191,East,Consumer,1/23/2017,Standard Class,Vermont,Paper,0,37.5624,4,79.92
Office Supplies,Manchester,United States,Jamie Frazer,7/9/2017,CA-2017-121083,06040,Tennsco Industrial Shelving,East,Consumer,7/15/2017,Standard Class,Connecticut,Storage,0,3.9128,4,195.64
Office Supplies,Middletown,United States,Jim Radford,5/16/2016,CA-2016-122133,06457,"SAFCO Commercial Wire Shelving, Black",East,Consumer,5/23/2016,Standard Class,Connecticut,Storage,0,0,4,552.56
Office Supplies,New York City,United States,Kunst Miller,4/19/2016,CA-2016-109666,10035,Space Solutions HD Industrial Steel Shelving.,East,Consumer,4/26/2016,Standard Class,New York,Storage,0,13.7964,4,459.88
Office Supplies,New York City,United States,Peter Fuller,9/17/2015,US-2015-126977,10035,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,East,Consumer,9/23/2015,Standard Class,New York,Storage,0,27.434,4,94.6
Office Supplies,New York City,United States,Seth Vernon,9/20/2017,CA-2017-100111,10035,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",East,Consumer,9/26/2017,Standard Class,New York,Storage,0,12.712,4,45.4
Office Supplies,Long Beach,United States,Dianna Vittorini,5/17/2015,CA-2015-100251,11561,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",East,Consumer,5/23/2015,Standard Class,New York,Supplies,0,16.124,4,55.6
Office Supplies,New York City,United States,Christina VanderZanden,9/4/2016,CA-2016-123120,10011,Acme Preferred Stainless Steel Scissors,East,Consumer,9/8/2016,Standard Class,New York,Supplies,0,6.5888,4,22.72
Office Supplies,New York City,United States,Shahid Hopkins,8/6/2017,CA-2017-168172,10011,"Acme 10"" Easy Grip Assistive Scissors",East,Consumer,8/10/2017,Standard Class,New York,Supplies,0,21.036,4,70.12
Office Supplies,New York City,United States,Bradley Nguyen,5/19/2016,CA-2016-169943,10011,Belkin Premiere Surge Master II 8-outlet surge protector,East,Consumer,5/24/2016,Standard Class,New York,Appliances,0,70.441,5,242.9
Office Supplies,New York City,United States,Helen Abelman,9/20/2016,CA-2016-145611,10035,Honeywell Quietcare HEPA Air Cleaner,East,Consumer,9/24/2016,Standard Class,New York,Appliances,0,129.7725,5,393.25
Office Supplies,Franklin,United States,Helen Abelman,11/8/2015,CA-2015-105634,02038,American Pencil,East,Consumer,11/14/2015,Standard Class,Massachusetts,Art,0,3.3785,5,11.65
Office Supplies,Long Beach,United States,Kunst Miller,3/30/2014,CA-2014-169033,11561,Peel-Off China Markers,East,Consumer,4/3/2014,Standard Class,New York,Art,0,20.853,5,49.65
Office Supplies,New York City,United States,John Lee,3/25/2017,CA-2017-105193,10024,Newell 311,East,Consumer,3/31/2017,Standard Class,New York,Art,0,2.9835,5,11.05
Office Supplies,Bristol,United States,Annie Thurman,8/30/2014,CA-2014-146500,06010,Wilson Jones Standard D-Ring Binders,East,Consumer,9/4/2014,Standard Class,Connecticut,Binders,0,11.891,5,25.3
Office Supplies,Plainfield,United States,Richard Bierner,12/11/2017,CA-2017-153871,07060,"Fellowes Twister Kit, Gray/Clear, 3/pkg",East,Consumer,12/17/2017,Standard Class,New Jersey,Binders,0,18.09,5,40.2
Office Supplies,Hempstead,United States,Chloris Kastensmidt,6/16/2014,CA-2014-113929,11550,Staple envelope,East,Consumer,6/21/2014,Standard Class,New York,Envelopes,0,19.458,5,41.4
Office Supplies,Lakewood,United States,Nora Paige,10/12/2017,CA-2017-150091,08701,"OIC Colored Binder Clips, Assorted Sizes",East,Consumer,10/16/2017,Standard Class,New Jersey,Fasteners,0,8.771,5,17.9
Office Supplies,Freeport,United States,Karl Braun,5/28/2015,CA-2015-131758,11520,Avery 494,East,Consumer,6/1/2015,Standard Class,New York,Labels,0,6.003,5,13.05
Office Supplies,New York City,United States,Irene Maddox,6/23/2016,CA-2016-140501,10009,Avery 52,East,Consumer,6/28/2016,Standard Class,New York,Labels,0,8.6715,5,18.45
Office Supplies,Manchester,United States,Jamie Frazer,7/9/2017,CA-2017-121083,06040,Xerox 1914,East,Consumer,7/15/2017,Standard Class,Connecticut,Paper,0,134.652,5,274.8
Office Supplies,Newark,United States,Justin MacKendrick,11/14/2016,US-2016-117541,19711,Tops Wirebound Message Log Books,East,Consumer,11/20/2016,Standard Class,Delaware,Paper,0,7.567,5,16.45
Office Supplies,Everett,United States,Chloris Kastensmidt,5/12/2017,CA-2017-104577,02149,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",East,Consumer,5/17/2017,Standard Class,Massachusetts,Paper,0,42.048,5,87.6
Office Supplies,Auburn,United States,Tamara Manning,9/12/2015,CA-2015-102015,13021,HP Office Recycled Paper (20Lb. and 87 Bright),East,Consumer,9/18/2015,Standard Class,New York,Paper,0,14.161,5,28.9
Office Supplies,Long Beach,United States,Natalie DeCherney,11/19/2016,CA-2016-130778,11561,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",East,Consumer,11/25/2016,Standard Class,New York,Paper,0,20.585,5,44.75
Office Supplies,Mount Vernon,United States,Joseph Airdo,9/29/2017,CA-2017-128335,10550,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",East,Consumer,10/5/2017,Standard Class,New York,Paper,0,24.2285,5,51.55
Office Supplies,New York City,United States,Jessica Myrick,9/19/2017,US-2017-148866,10011,Xerox 228,East,Consumer,9/24/2017,Standard Class,New York,Paper,0,15.552,5,32.4
Office Supplies,New York City,United States,Carlos Daly,3/24/2014,CA-2014-147235,10024,Xerox 190,East,Consumer,3/28/2014,Standard Class,New York,Paper,0,11.703,5,24.9
Office Supplies,Manchester,United States,Trudy Brown,5/28/2015,CA-2015-149601,06040,"Personal Filing Tote with Lid, Black/Gray",East,Consumer,6/3/2015,Standard Class,Connecticut,Storage,0,21.714,5,77.55
Office Supplies,Newark,United States,Laurel Elliston,6/12/2015,CA-2015-131779,19711,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",East,Consumer,6/17/2015,Standard Class,Delaware,Storage,0,5.083,5,29.9
Office Supplies,New York City,United States,Irene Maddox,6/23/2016,CA-2016-140501,10009,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,East,Consumer,6/28/2016,Standard Class,New York,Storage,0,38.988,5,324.9
Office Supplies,New York City,United States,Bradley Nguyen,5/19/2016,CA-2016-169943,10011,Safco Industrial Wire Shelving System,East,Consumer,5/24/2016,Standard Class,New York,Storage,0,0,5,454.9
Office Supplies,New York City,United States,Peter Fuller,9/17/2015,US-2015-126977,10035,Woodgrain Magazine Files by Perma,East,Consumer,9/23/2015,Standard Class,New York,Storage,0,1.043,5,14.9
Office Supplies,Providence,United States,Gene McClure,6/26/2016,CA-2016-119445,02908,Woodgrain Magazine Files by Perma,East,Consumer,7/3/2016,Standard Class,Rhode Island,Storage,0,1.043,5,14.9
Office Supplies,Paterson,United States,Dean Braden,12/21/2017,CA-2017-165841,07501,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",East,Consumer,12/28/2017,Standard Class,New Jersey,Supplies,0,20.155,5,69.5
Office Supplies,New York City,United States,Kunst Miller,4/19/2016,CA-2016-109666,10035,Fiskars Softgrip Scissors,East,Consumer,4/26/2016,Standard Class,New York,Supplies,0,15.372,5,54.9
